TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-02,2026-09-02,CM,NSE,STK,764920,INE252A01019,SPELS,EQ,,,,,SPEL SEMICONDUCTOR LTD,151.00,151.00,145.00,148.68,148.69,149.76,,148.69,,,25327,3756644.39,1068,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,8163,INE020801028,SPENCERS,EQ,,,,,SPENCER S RETAIL LIMITED,29.10,29.61,28.40,28.51,28.90,28.89,,28.54,,,36449,1049561.74,292,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,3252,INE147A01011,SPIC,EQ,,,,,SPIC LTD,68.70,69.80,67.61,69.09,68.90,68.86,,69.09,,,471117,32352415.60,3043,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,11935,INE978G01016,SPLIL,EQ,,,,,SPL INDUSTRIES LIMITED,31.52,32.69,30.65,31.45,31.50,31.65,,31.43,,,7069,222143.23,99,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,3321,INE937A01023,SPMLINFRA,EQ,,,,,SPML INFRA LIMITED,179.71,179.71,172.55,174.24,175.00,179.64,,174.25,,,201362,35204778.75,3418,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,10733,INE885H01029,SPORTKING,EQ,,,,,SPORTKING INDIA LIMITED,230.90,232.90,221.51,225.74,225.95,229.91,,225.74,,,306220,69770150.17,7960,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,17186,INE526E01018,SHRIPISTON,EQ,,,,,SPR AUTO TECHNOLOGIES LTD,4570.00,4613.00,4422.20,4600.40,4610.00,4598.20,,4600.50,,,95112,430476707.30,13996,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,757865,INE19QH01010,SPUNWEB,SM,,,,,SPUNWEB NONWOVEN LIMITED,101.05,101.05,101.05,101.05,101.05,101.00,,101.05,,,1200,121260.00,1,F1,1200,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,14582,INE917H01012,SRHHYPOLTD,EQ,,,,,SREE RAYALSEEMA HHP LTD.,494.30,500.00,489.80,498.20,499.50,494.45,,497.48,,,7917,3929316.65,449,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,31837,INE099F01013,SREEL,EQ,,,,,SREELEATHERS LIMITED,247.32,264.40,247.32,253.70,255.99,249.74,,253.73,,,19178,4876632.47,797,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,3273,INE647A01010,SRF,EQ,,,,,SRF LTD,2575.00,2598.40,2557.10,2598.40,2598.40,2592.00,,2598.39,,,129379,333951502.50,12314,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,18119,INE559N01010,SRGHFL,EQ,,,,,SRG HOUSING FINANCE L,254.10,258.00,246.10,246.85,247.10,255.60,,246.85,,,1741,440547.50,48,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,7457,INE293B01029,HAVISHA,EQ,,,,,SRI HAVISHA HOSP & INFR L,1.35,1.35,1.27,1.28,1.27,1.34,,1.28,,,47158,61598.21,84,F1,1,,,,,
