MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,ST,DHARARAIL,DHARA RAIL PROJECTS LTD,       149.00,       142.00,       146.50,       142.00,       145.35,                  1727500.00,12000, ,       172.50,        90.05
N,SM,DHARIWAL,DHARIWALCORP LIMITED,        21.65,        22.70,        22.70,        22.70,        22.70,                  1838700.00,81000, ,       413.00,        16.70
N,SM,DTL,DIENSTEN TECH LIMITED,       120.00,       128.00,       128.00,       128.00,       128.00,                   153600.00,1200, ,       178.00,        82.05
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        39.25,        37.75,        40.40,        37.75,        39.55,                  2026360.00,51200, ,       190.60,        30.25
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       115.45,       116.00,       116.00,       109.70,       110.00,                  2529000.00,22800, ,       355.25,        86.00
N,SM,DPEL,DIVINE POWER ENERGY LTD,       581.00,       582.90,       584.80,       573.10,       577.75,                 11556575.00,20000, ,       599.00,       131.05
N,ST,DIVYADHAN,DIVYADHAN RECYCLING IND L,        41.90,        39.85,        40.85,        39.85,        40.85,                   878700.00,22000, ,        58.10,        18.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        36.35,        35.80,        36.35,        35.35,        36.15,                  1709200.00,48000, ,        43.55,        26.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        34.25,        34.30,        35.30,        34.25,        34.70,                   363900.00,10500, ,       101.85,        33.00
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       115.50,       114.00,       115.00,       113.00,       115.00,                   273600.00,2400, ,       209.50,        90.00
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        25.00,        25.00,        25.00,        23.70,        23.85,                   539000.00,22500, ,        49.00,        23.00
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        63.05,        62.50,        63.00,        62.00,        63.00,                  2244400.00,36000, ,        72.00,        30.55
N,ST,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       132.65,       137.00,       139.25,       134.10,       135.05,                  1714850.00,12500, ,       183.90,        84.70
N,SM,E2ERAIL,E TO E TRANS INFRA LTD,       296.50,       296.50,       353.00,       296.50,       347.70,                192844000.00,576000, ,       353.00,       171.00
N,ST,ECOLINE,ECOLINE EXIM LIMITED,       180.00,       174.00,       182.00,       171.90,       178.25,                  3751700.00,21000, ,       216.00,       111.00
N,ST,EFFWA,EFFWA INFRA & RESEARCH L,       336.00,       320.00,       352.80,       320.00,       352.80,                 11332200.00,32800, ,       399.95,       165.00
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        21.40,        21.00,        21.75,        20.35,        20.35,                   331860.00,15600, ,        47.00,        16.15
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,        92.80,        88.50,        94.60,        86.30,        88.55,                  5024550.00,56000, ,       163.00,        52.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        83.45,        89.45,        89.45,        83.00,        83.55,                   343950.00,4000, ,       105.00,        65.25
N,SM,ETML,EMERALD TYRE MANUF LTD,        80.65,        80.70,        81.25,        80.70,        80.80,                   582360.00,7200, ,       146.00,        72.50
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,        90.30,        95.45,        95.45,        91.00,        92.00,                    96397.50,1050, ,       176.00,        83.10
N,SM,ETL,EMKAY TOOLS LIMITED,      1048.00,      1024.00,      1100.00,      1024.00,      1100.00,                  1253445.00,1200, ,      1125.00,       721.10
N,SM,ENCOMPAS,ENCOMPASS DESIGN INDIA L,       250.00,       250.40,       250.40,       248.10,       250.00,                   798600.00,3200, ,       302.90,       167.35
N,SM,EMMIL,ENERGY MISSION MACH IND L,       121.00,       122.95,       124.00,       122.55,       123.80,                   677687.50,5500, ,       207.00,       110.00
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       160.00,       160.00,       160.00,       160.00,       160.00,                   192000.00,1200, ,       260.00,       148.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        14.90,        15.00,        15.40,        15.00,        15.30,                   978500.00,65000, ,        23.25,         7.80
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,        69.10,        70.00,        70.00,        70.00,        70.00,                    70000.00,1000, ,       173.00,        68.10
N,ST,EEPL,EPPELTONE ENGINEERS LTD,       142.25,       141.90,       141.90,       135.20,       136.25,                  6155450.00,45000, ,       232.80,        91.00
N,ST,EPWINDIA,EPW INDIA LIMITED,       250.00,       256.00,       256.00,       256.00,       256.00,                   307200.00,1200, ,       282.05,        98.00
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       217.40,       229.00,       239.10,       219.05,       239.10,                 23832880.00,101200, ,       280.00,        91.25
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       120.15,       118.90,       118.90,       115.00,       117.10,                  2644884.00,22680, ,       392.90,       108.30
N,ST,EXCELLENT,EXCELLENT WIRES N PACK L,       204.00,       199.00,       208.80,       199.00,       208.80,                   652480.00,3200, ,       218.00,        36.90
N,SM,EXIMROUTES,EXIM ROUTES LIMITED,       108.00,       109.00,       112.00,       108.00,       108.00,                   704800.00,6400, ,       281.90,        90.00
N,SM,FALCONTECH,FALCON TECHNOPROJ IND LTD,        12.75,        12.80,        12.80,        11.50,        12.35,                   101700.00,8400, ,        22.35,        10.10
N,ST,FASCINATE,FASCINATE TEXTILES LTD,        84.55,        80.35,        80.35,        80.35,        80.35,                   449960.00,5600, ,       120.80,        80.35
N,SM,FELIX,FELIX INDUSTRIES LTD.,       184.35,       184.00,       191.00,       182.05,       189.70,                 25451250.00,135000, ,       232.95,       142.65
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       142.00,       141.00,       141.00,       141.00,       141.00,                   141000.00,1000, ,       200.00,       108.10
N,SM,FINBUD,FINBUD FINANCIAL SERV LTD,       129.90,       129.90,       129.90,       126.00,       126.00,                   637900.00,5000, ,       164.85,        76.00
N,SM,FLYSBS,FLYSBS AVIATION LIMITED,       606.65,       601.00,       648.00,       591.00,       634.65,                 95996560.00,154400, ,       687.00,       355.25
N,SM,FONEBOX,FONEBOX RETAIL LIMITED,        99.00,        99.00,        99.00,        99.00,        99.00,                    99000.00,1000, ,       124.40,        57.00
N,ST,FORCAS,FORCAS STUDIO LIMITED,       235.85,       237.60,       243.95,       228.80,       239.95,                  2276960.00,9600, ,       243.95,        91.50
N,SM,FORGEAUTO,FORGE AUTO INTERNATION L,        90.75,        95.25,        95.25,        95.25,        95.25,                   114300.00,1200, ,       172.00,        68.45
N,ST,FRESHARA,FRESHARA AGRO EXPORTS LTD,       456.95,       474.00,       474.00,       445.00,       461.30,                  8288190.00,18000, ,       474.00,       130.00
N,ST,FROG,FROG INNOVATIONS LIMITED,       260.60,       266.00,       266.00,       248.30,       259.15,                  7944840.00,30800, ,       275.00,       123.50
N,SM,GML,GALAXY MEDICARE LIMITED,        17.00,        17.80,        17.85,        17.80,        17.85,                   321000.00,18000, ,        54.00,        15.15
N,SM,GGBL,GANESH GREEN BHARAT LTD,       217.50,       217.50,       229.75,       217.50,       225.85,                  6588435.00,29400, ,       475.00,       211.00
N,ST,GANESHIN,GANESH INFRAWORLD LIMITED,       102.80,       100.00,       102.30,        97.70,        97.70,                 10714720.00,108800, ,       263.50,        66.40
