MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BF INVESTMENT LIMITED,       444.40,       447.75,       454.75,       438.00,       452.95,                 13687515.35,30551,N, ,2673,       584.70,       315.00
N,BF UTILITIES LIMITED,       504.70,       501.50,       504.00,       495.35,       500.65,                 11559100.90,23073,N, ,1203,       898.70,       368.70
N,BHAGIRADHA CHEM & INDS L,       269.05,       266.60,       270.45,       265.10,       268.10,                 18853984.95,70506,N, ,1256,       316.90,       170.60
N,BHAGYANAGAR INDIA LIMITED,       380.00,       379.90,       386.00,       368.15,       380.40,                 52720053.90,140035,N, ,4509,       432.30,        86.00
N,BHANDARI HOSIERY EXP LTD,         2.96,         2.97,         3.10,         2.94,         2.98,                   595376.73,198728,N, ,256,         5.25,         2.00
N,BHARAT COKING COAL LTD,        33.34,        33.33,        34.83,        33.00,        33.92,                418122384.49,12235859,N, ,32104,        45.09,        29.74
N,BHARAT FORGE LTD,      2052.20,      2046.10,      2046.10,      2006.30,      2031.80,               2705460559.50,1341071,N, ,32598,      2295.00,      1104.60
N,BHARAT RASAYAN LTD,      1233.00,      1239.90,      1247.90,      1190.50,      1203.30,                 31258970.20,25627,N, ,2572,     11950.00,      1190.50
N,BHARAT SEATS LIMITED,       219.25,       219.25,       220.99,       212.03,       214.00,                 38529841.75,180073,N, ,3760,       263.18,       133.60
N,BHARAT WIRE ROPES LTD.,       174.18,       172.40,       180.50,       169.63,       175.76,                 43465438.97,247468,N, ,7030,       262.00,       148.01
N,BHARTI HEXACOM LIMITED,      1511.70,      1512.00,      1547.30,      1498.20,      1531.10,                107858646.80,70741,N, ,12348,      1955.60,      1430.00
N,BHEL,       426.55,       423.55,       427.50,       417.35,       427.50,               2429609414.40,5742323,N, ,58421,       446.50,       209.05
N,BIGBLOC CONSTRUCTION LTD,        41.89,        42.01,        42.01,        40.95,        41.24,                   995640.39,24121,N, ,497,        80.00,        38.00
N,BIKAJI FOODS INTERN LTD,       598.30,       597.00,       598.30,       586.90,       590.20,                210664004.80,356630,N, ,16228,       818.70,       586.90
N,BHARTIYA INTERNATIONAL,       885.45,       938.00,       938.00,       885.45,       893.20,                 16242739.35,18069,N, ,1344,       980.00,       602.00
N,BIMETAL BEARINGS LTD.,       640.05,       640.00,       641.00,       633.00,       638.90,                   209160.15,329,N, ,37,       750.75,       537.90
N,BIOCON LIMITED.,       401.05,       400.00,       402.40,       397.90,       401.00,                574111674.95,1433504,N, ,34775,       447.15,       337.05
N,BIOFIL CHEM & PHARMA LTD,        32.15,        32.60,        32.80,        31.55,        31.95,                   156719.06,4881,N, ,112,        46.34,        25.60
N,BIOPOL CHEMICALS LIMITED,        46.15,        41.55,        41.55,        41.55,        41.55,                  2393280.00,57600,N, ,40,       133.75,        41.55
N,BROOKFIELD INDIA RET,       341.86,       341.80,       342.50,       338.00,       341.39,                 61720990.62,180992,N, ,15740,       375.69,       312.05
N,BIRLA CORPORATION LTD,       879.55,       870.00,       877.60,       862.00,       867.40,                 38198471.50,43993,N, ,7688,      1346.10,       769.60
N,ADITYA BIRLA MONEY LTD,       127.02,       127.02,       129.00,       125.62,       126.47,                  1469928.22,11603,N, ,523,       197.39,        95.00
N,BIRLANU LIMITED,      1437.70,      1443.50,      1443.50,      1403.10,      1422.30,                  5515519.20,3869,N, ,568,      2086.90,      1190.10
N,BIRLA PRECISION TECH L,        43.79,        43.80,        44.89,        43.00,        43.11,                  2285244.52,52217,N, ,484,        49.99,        32.25
N,BLACKBUCK LIMITED,       580.30,       578.20,       584.70,       570.10,       581.65,                134317110.75,232439,N, ,17766,       748.00,       496.00
N,BEML LAND ASSETS LIMITED,       164.88,       167.00,       167.00,       162.92,       163.27,                  3110055.04,19000,N, ,486,       233.80,       155.50
N,BLB LIMITED,        16.15,        16.25,        17.50,        15.82,        17.11,                  5999057.28,361782,N, ,494,        22.47,        12.00
N,BEHARI LAL ENGINEERING L,       436.40,       434.00,       452.80,       431.10,       445.25,                734702708.80,1657322,N, ,26294,       548.00,       431.10
N,BALMER LAWRIE INVSTS. L,        72.18,        72.38,        72.38,        71.94,        72.11,                  4200710.02,58245,N, ,1360,        79.50,        67.00
N,B.L.KASHYAP & SON LTD,        55.84,        55.80,        57.89,        54.80,        55.75,                 38617466.40,682619,N, ,4328,        73.00,        40.32
N,BLS INTL SERVS LTD,       238.19,       238.09,       238.09,       234.00,       235.22,                145890015.75,620128,N, ,13163,       374.00,       218.90
N,BLS E-SERVICES LIMITED,       327.70,       329.05,       330.40,       322.50,       322.85,                 49457944.50,151988,N, ,3214,       331.30,       124.30
N,BLUE CLOUD SOFTECH SOLU L,        19.99,        20.00,        20.02,        19.61,        19.89,                 22473130.01,1134230,N, ,2742,        24.50,        19.61
N,BLUE DART EXPRESS LTD,      5105.00,      5061.00,      5133.90,      4991.00,      5017.50,                118672691.70,23531,N, ,5603,      7036.00,      4628.50
N,BLUE JET HEALTHCARE LTD,       586.35,       586.30,       586.30,       576.50,       580.35,                160327483.25,275975,N, ,11478,       759.50,       325.00
N,BLUE PEBBLE LIMITED,        62.95,        62.95,        71.00,        62.95,        69.05,                  1084740.00,16000,N, ,23,       195.00,        59.20
N,BLUE STAR LIMITED,      1490.90,      1491.00,      1491.00,      1432.50,      1445.30,                954436126.80,657972,N, ,34361,      2040.00,      1432.50
N,BLUESTONE JEWEL LFSTL LTD,       813.25,       810.00,       819.00,       794.55,       813.40,                283967628.20,351724,N, ,14011,       926.00,       399.80
N,BLUSPRING ENTERPRISES LTD,       121.47,       121.88,       133.61,       120.71,       132.44,                134767730.77,1043522,N, ,10244,       136.67,        43.98
N,BOMBAY METRICS S C LTD,        33.50,        34.95,        35.85,        34.95,        35.85,                   142600.00,4000,N, ,4,        56.90,        31.05
N,BIO MEDICA LABORATORIES L,       145.35,       153.00,       163.80,       152.65,       160.90,                  4758450.00,30000,N, ,20,       164.45,       101.50
N,BMW VENTURES LIMITED,        55.28,        56.24,        56.24,        55.00,        55.23,                  2831736.76,51206,N, ,1964,        78.00,        48.00
N,BN AGROCHEM LTD.,       229.00,       225.05,       228.89,       218.00,       225.00,                   384855.52,1745,N, ,63,       394.80,       218.00
N,BODAL CHEMICALS LTD,       126.76,       126.51,       151.89,       119.00,       145.45,               4222352328.44,30271526,N, ,176356,       151.89,        42.81
N,BOHRA INDUSTRIES LIMITED,        12.69,        13.34,        13.34,        12.24,        12.36,                   261430.73,21139,N, ,99,        27.21,        12.00
N,BOMBAY DYEING & MFG. CO L,       113.49,       112.70,       115.50,       111.47,       113.86,                 64393556.22,568186,N, ,5524,       195.45,        92.00
N,BONLON INDUSTRIES LIMITED,        41.71,        41.91,        42.89,        40.01,        40.24,                   183515.18,4432,N, ,129,        57.00,        34.51
N,BORANA WEAVES LIMITED,       309.15,       308.50,       310.50,       303.00,       304.90,                  5940396.55,19418,N, ,481,       420.00,       211.00
N,BOROSIL LIMITED,       241.85,       241.10,       253.77,       236.51,       249.92,                 76597138.40,310915,N, ,6627,       397.95,       213.73
N,BOROSIL RENEWABLES LTD,       497.15,       493.00,       499.00,       487.80,       495.75,                 85543256.05,172957,N, ,7165,       721.00,       374.40
N,BOROSIL SCIENTIFIC LTD,       127.65,       126.37,       134.00,       126.37,       131.31,                 12018711.73,92825,N, ,1858,       180.80,        96.64
N,BOSCH HOME COMFRT IND LTD,      1745.50,      1746.50,      1750.80,      1686.40,      1733.90,                 51441503.40,29791,N, ,3579,      1801.70,      1021.30
N,BOSS PACKAGING SOLU LTD,        52.95,        54.00,        54.00,        54.00,        54.00,                   108000.00,2000,N, ,1,        57.20,        31.75
N,BPL LTD,        50.02,        49.60,        50.74,        49.20,        49.78,                  2985485.36,59833,N, ,1064,        91.28,        37.61
N,BHARAT PARENTERALS LTD.,      1507.40,      1513.00,      1532.90,      1490.00,      1518.20,                   794639.20,524,N, ,75,      1649.00,      1125.70
