TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-31,2026-08-31,CM,NSE,STK,18582,INE0PRF01011,UNIHEALTH,SM,,,,,UNIHEALTH HOSPITALS LTD,724.95,725.00,715.00,724.95,724.95,717.95,,724.95,,,5000,3610275.00,10,F1,500,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,7791,INE481Z01011,UNIINFO,EQ,,,,,UNIINFO TELECOM SERVI LTD,10.92,11.48,10.44,11.18,11.44,10.97,,11.18,,,3155,34618.92,47,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,25633,INE0B2801011,UNILEX,SM,,,,,UNILEX COLOURS AND CHEM L,26.00,26.00,26.00,26.00,26.00,25.65,,26.00,,,1600,41600.00,1,F1,1600,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,28960,INE0U3I01011,UNIMECH,EQ,,,,,UNIMECH AEROSPACE N MFG L,1500.00,1550.50,1458.10,1490.00,1489.90,1503.10,,1490.22,,,317241,476456611.80,23093,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,10753,INE692A01016,UNIONBANK,EQ,,,,,UNION BANK OF INDIA,184.68,188.63,181.80,188.63,188.63,186.00,,188.62,,,9767401,1803812518.82,34860,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,29687,INF582M01KS4,UNIONGOLD,EQ,,,,,UNIONAMC - UNIONGOLD,154.50,154.50,149.30,150.60,150.75,155.30,,150.60,,,2810,423190.80,136,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,13057,INE244O01017,UNIPARTS,EQ,,,,,UNIPARTS INDIA LIMITED,881.00,899.80,858.00,893.45,898.00,873.15,,893.43,,,443265,390551513.80,21518,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11293,INE037A01022,UNIENTER,EQ,,,,,UNIPHOS ENTERPRISES LTD,95.89,96.70,92.70,93.51,93.50,94.10,,93.51,,,15001,1423350.17,96,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3594,INE694A01020,UNITECH,EQ,,,,,UNITECH LTD,3.90,3.95,3.80,3.81,3.82,3.90,,3.81,,,3510786,13505096.16,2229,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,16713,INE686F01025,UBL,EQ,,,,,UNITED BREWERIES LTD,1334.10,1335.00,1301.50,1308.50,1302.00,1334.10,,1308.59,,,61021,80135071.70,6702,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,204,INE961D01019,UNIDT,BE,,,,,UNITED DRILLING TOOLS LTD,215.39,219.50,209.11,215.51,219.40,215.51,,215.51,,,3272,696555.71,66,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3133,INE382M01027,UFBL,BE,,,,,UNITED FOODBRANDS LIMITED,758.80,758.80,725.65,727.60,727.00,763.80,,727.59,,,53249,38982863.75,1508,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,25938,INE0SMR01011,UHTL,ST,,,,,UNITED HEAT TRANSFER LTD,146.45,146.45,146.00,146.45,146.45,143.60,,146.45,,,10000,1463600.00,5,F1,2000,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,17999,INE458F01011,UNITEDTEA,EQ,,,,,UNITED NILGIRI TEA LTD,445.20,461.00,445.20,452.25,454.50,454.00,,452.25,,,1069,483823.90,107,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,7560,INE368U01029,UNITEDPOLY,EQ,,,,,UNITED POLYFAB GUJ. LTD.,39.00,39.00,37.25,37.59,37.79,38.80,,37.58,,,58541,2219052.29,365,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,10447,INE854D01024,UNITDSPR,EQ,,,,,UNITED SPIRITS LIMITED,1510.00,1510.90,1479.70,1490.00,1490.00,1510.00,,1490.00,,,1523133,2265270991.10,31251,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,10366,INE275F01019,UNIVAFOODS,BE,,,,,UNIVA FOODS LIMITED,9.03,9.03,9.03,9.03,9.03,9.03,,9.03,,,541,4885.23,1,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,18979,INE562X01013,UNIVASTU,BE,,,,,UNIVASTU INDIA LIMITED,160.00,162.50,156.00,157.25,156.00,160.48,,157.25,,,41414,6601557.04,432,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3607,INE279A01012,UNIVCABLES,EQ,,,,,UNIVERSAL CABLES LTD,1735.00,1735.00,1636.10,1648.20,1654.90,1693.20,,1648.41,,,167932,282428314.30,15613,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,17661,INE03V001013,UNIVPHOTO,BE,,,,,UNIVERSUS IMAGINGS LTD,446.45,452.10,446.45,449.10,449.10,456.05,,449.55,,,369,166257.10,16,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,14154,INE405E01023,UNOMINDA,EQ,,,,,UNO MINDA LIMITED,1276.00,1292.50,1261.10,1276.00,1276.00,1276.00,,1276.00,,,693607,888707731.30,29036,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,18632,INE148I08231,879SCL26,NC,,,,,UNS RED NCD 8.79% SR.VIII,955.12,955.12,955.12,955.12,955.12,1001.00,,955.12,,,1,955.12,1,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,2877,INE530B08102,96IIFL28A,NF,,,,,UNSE RE NCD 9.6% SR.II,1003.90,1003.90,1001.50,1003.59,1003.59,1003.88,,1001.80,,,1261,1263217.38,47,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,5212,INE477L08147,10IIFL28,N4,,,,,UNSEC RE NCD 10% SR.I,1005.00,1005.00,1003.00,1003.00,1003.00,1000.12,,1008.50,,,200,200800.00,4,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,5214,INE477L08154,96IIFL28,N5,,,,,UNSEC RE NCD 9.60% SR.II,1003.94,1003.94,1001.10,1002.00,1002.00,1001.05,,1002.00,,,394,394889.25,15,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,19045,INE866I08279,10IIFL29,N6,,,,,UNSEC RED NCD 10.0% SR. V,1025.00,1025.00,1025.00,1025.00,1025.00,1025.00,,1025.00,,,15,15375.00,1,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,19047,INE866I08295,105IIFL29,N7,,,,,UNSEC RED NCD 10.5% SR.VI,1069.00,1070.00,1069.00,1070.00,1070.00,1069.80,,1070.00,,,130,139042.60,3,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,21225,INE306N08292,910TCAP28,NA,,,,,UNSERENCD9.1%SRIIICIII&IV,1121.69,1121.69,1121.69,1121.69,1121.69,1121.69,,1125.85,,,378,423998.82,6,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,19113,INE851I01011,UDS,EQ,,,,,UPDATER SERVICES LIMITED,221.07,227.63,221.07,224.73,222.25,222.48,,224.73,,,297152,66677597.32,7178,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11287,INE628A01036,UPL,EQ,,,,,UPL LIMITED,568.00,569.45,562.25,562.25,562.25,571.00,,562.25,,,2572084,1449819873.00,22719,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,10610,INE0CBM01019,USASEEDS,SM,,,,,UPSURGE SEEDS OF AGRI LTD,88.75,96.00,88.75,96.00,96.00,93.40,,96.00,,,856,79073.00,2,F1,428,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,17081,INE568Z01015,URAVIDEF,BE,,,,,URAVI DEFENCE &TECH LTD,107.99,113.31,107.99,113.31,113.31,107.92,,113.35,,,15974,1778604.91,157,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,759084,INE0CAZ01013,URBANCO,EQ,,,,,URBAN COMPANY LIMITED,168.40,174.34,165.48,167.11,165.80,168.41,,167.11,,,22948972,3876270456.17,114090,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,16888,INE0O0201019,URBAN,SM,,,,,URBAN ENVIRO WASTE MGMT L,134.50,136.45,118.00,120.35,121.00,139.70,,120.35,,,140800,17527840.00,134,F1,800,,,,,
