MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,BANKBETA,UTIAMC-BANKBETA,        59.31,        59.00,        59.33,        58.89,        59.23,                 38229801.28,647961,487,        73.70,        51.30,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        58.21,        58.15,        58.33,        57.86,        58.06,                   913195.09,15722,192,        63.90,        50.71,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       584.26,       581.16,       584.03,       580.54,       583.37,                 24095860.37,41320,266,       628.27,       507.01,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        58.90,        58.91,        58.91,        58.50,        58.77,                  9877531.73,168198,1355,        63.90,        51.17,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,        59.31,        59.31,        60.00,        59.10,        59.30,                 33240945.08,559906,918,       652.87,        51.71,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        85.72,        85.25,        86.25,        85.03,        85.60,                  1817432.56,21223,82,        99.52,        67.94,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1338.05,      1341.35,      1341.99,      1336.85,      1340.67,                  1446279.81,1080,48,      1378.00,      1262.29,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        57.86,        57.76,        57.88,        57.20,        57.44,                   118847.49,2071,24,        62.77,        50.03,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       146.85,       146.80,       146.80,       144.20,       144.65,                   423885.05,2926,92,       184.05,       100.35,BARODA BNP PARIBAS GOLD ETF
N,EQ,BFSI,MIRAEAMC - MAFSETF,        26.99,        26.91,        26.91,        26.72,        26.84,                  7123611.98,265420,928,        29.94,        24.03,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BNKETFAXIS,AXISAMC-BNKETFAXIS,       591.79,       588.42,       591.40,       586.07,       589.07,                   118519.10,201,29,       647.82,       512.51,NIFTY BANK
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        39.51,        39.13,        39.32,        39.07,        39.26,                  4120348.53,105175,1053,        42.05,        34.50,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       133.67,       133.47,       133.47,       131.08,       131.74,                 57030824.76,432842,2878,       155.99,        88.36,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        28.18,        28.40,        28.40,        27.96,        28.10,                 48294755.78,1719207,4516,        33.00,        25.70,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        77.82,        79.37,        79.37,        76.80,        77.23,                    95651.44,1239,95,        87.82,        70.32,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1077.71,      1077.85,      1077.87,      1077.85,      1077.86,                370932259.49,344136,142,      1099.28,      1026.02,BSE LIQUID RATE INDEX
N,EQ,CEMNTGROWW,GROWWAMC - CEMNTGROWW,        14.68,        15.04,        15.04,        14.40,        14.53,                  1719064.76,118820,747,        16.27,        14.40,NIFTY CEMENTS INDEX TRI
N,EQ,CHEMICAL,KOTAKMAMC - CHEMICAL,        30.04,        30.34,        30.34,        29.78,        30.07,                  7672524.39,256088,1150,        31.80,        24.50,NIFTY CHEMICALS INDEX (TRI)
N,EQ,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,       150.62,       150.30,       150.30,       147.94,       148.39,                   999792.73,6727,112,       175.49,       115.79,GOLD
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        98.85,       101.32,       101.80,        97.92,        99.26,                  2772022.73,28045,534,       110.56,        87.12,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,        12.12,        11.88,        12.30,        11.88,        12.06,                   254906.25,21260,170,       132.00,        10.20,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMAXIS,AXISAMC-CONSUMAXIS,       119.97,       119.38,       120.32,       119.38,       120.12,                   642334.31,5359,32,       131.85,       105.63,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       131.45,       131.45,       132.85,       129.41,       130.51,                 23281252.90,179006,2198,       144.38,       114.00,NIFTY INDIA CONSUMPTION TRI
N,EQ,CONSUMER,MIRAEAMC - CONSUMER,        12.08,        12.45,        12.45,        11.90,        12.01,                  3598106.63,300957,499,        12.87,         9.69,NIFTY INDIA NEW AGECONSUMPTION
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       122.08,       121.90,       121.90,       120.30,       121.08,                   953598.17,7895,267,       141.27,        94.65,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        92.53,        94.84,        94.84,        92.06,        93.64,                115607642.83,1238289,7054,       112.00,        86.06,CPSE ETF
N,EQ,DEFENCE,MIRAEAMC - DEFENCE,        80.77,        82.78,        82.78,        79.63,        80.63,                 19753489.33,246280,978,        85.60,        58.91,BSE INDIA DEFENCE
N,EQ,DIVIDEND,MIRAEAMC - DIVIDEND,        35.55,        35.55,        35.56,        35.26,        35.51,                  1507628.52,42589,66,        38.03,        33.15,BSE 500 DIVIDEND LEADERS
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        77.35,        76.54,        77.99,        76.10,        76.71,                  4482340.25,58412,965,        87.09,        72.13,NIFTY DIVIDEND OPPORTUNITIES 50 TRI
N,EQ,EBANK10,EDELAMC - EBANK10,        16.71,        16.71,        16.74,        16.57,        16.71,                    44212.00,2651,19,        17.90,        16.57,INDEX (BSE TOP 10 BANK)
N,EQ,EBANKNIFTY,EDELAMC - EBANKNIFTY,        57.95,        57.32,        57.90,        57.32,        57.83,                    34447.09,597,23,        69.39,        50.05,EDELWEISS NIFTY BANK ETF
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1606.67,      1609.00,      1609.00,      1603.31,      1606.00,                 15715145.24,9788,371,      1646.18,      1501.89,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1433.04,      1439.69,      1439.69,      1428.32,      1431.77,                  2886703.29,2018,94,      1469.00,      1363.00,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1310.99,      1350.32,      1350.32,      1305.01,      1309.22,                  2935980.52,2242,105,      1350.32,      1243.25,BHARAT BOND ETF-APRIL 2033
N,EQ,ECAPINSURE,EDELAMC - ECAPINSURE,        23.88,        23.71,        23.90,        23.35,        23.76,                   639906.64,27027,388,        25.88,        20.50,BSE CAPITAL MARKETS & INSURANCE TOTAL RETURN INDEX
N,EQ,EGOLD,EDELAMC - EGOLD,       151.65,       151.65,       151.65,       148.40,       149.15,                 12348217.10,82638,681,       184.95,       102.00,EDELWEISS GOLD ETF
N,EQ,ELIQUID,EDELAMC - ELIQUID,      1045.99,      1051.22,      1051.22,      1046.12,      1046.13,                 17640873.54,16863,22,      1051.22,       996.00,NIFTY 1D RATE INDEX (DEBT INDEX)
N,EQ,ELM250,EDELAMC - ELM250,        16.65,        16.73,        16.75,        16.45,        16.50,                  4774985.93,287747,300,        19.20,        14.43,NIFTY LARGEMIDCAP 250 TRI
N,EQ,ELMDIV,EDELAMC - ELMDIV,        36.20,        37.35,        37.35,        35.83,        36.08,                    84689.54,2336,19,        38.67,        35.83,INDEX (BSE LARGEMID (60:40) STABLE DIVIDEND 50)
N,EQ,EMETAL,EDELAMC - EMETAL,        13.28,        13.61,        13.61,        13.05,        13.15,                    76419.52,5814,38,        15.21,        12.41,NIFTY METAL TOTAL RETURN INDEX
N,EQ,EMULTIMQ,EDELAMC - EMULTIMQ,        42.11,        42.14,        42.37,        41.40,        41.65,                   969989.91,23272,255,        43.54,        36.25,NIFTY500 MULTICAP MOMENTUM QUALITY 50 TOTAL RETURN INDEX
N,EQ,ENERGY,MIRAEAMC - ENERGY,        37.94,        37.95,        38.27,        37.74,        38.22,                 24863471.16,651538,1302,        42.82,        29.00,NIFTY ENERGY
N,EQ,ENERGYAXIS,AXISAMC - ENERGYAXIS,        19.06,        19.15,        19.27,        18.81,        19.01,                   392781.19,20686,65,        19.27,        18.81,INDEX
N,EQ,ENEXT50,EDELAMC - ENEXT50,        72.91,        72.49,        72.77,        71.85,        72.09,                   152345.33,2112,17,        76.00,        68.59,NIFTY NEXT 50 TOTAL RETURN INDEX
N,EQ,ENIFTY,EDELAMC - ENIFTY,        24.42,        25.03,        25.03,        24.04,        24.12,                   192233.02,7983,78,        27.99,        22.28,NIFTY 50 TRI
N,EQ,EQUAL200,MIRAEAMC - EQUAL200,        13.83,        13.83,        13.90,        13.68,        13.79,                   337324.96,24530,94,        14.60,        11.75,BSE 200 EQUAL WEIGHT
N,EQ,EQUAL50,MIRAEAMC - EQUAL50,       331.69,       338.32,       338.32,       328.15,       329.92,                  2551765.98,7747,53,       342.88,       295.16,NIFTY50 EQUAL WEIGHT
N,EQ,EQUAL50ADD,DSPAMC - DSPNEWETF,       342.71,       346.14,       346.14,       339.28,       341.16,                 17689679.36,51998,415,       361.00,       304.78,NIFTY 50 EQUAL WEIGHT INDEX
N,EQ,ESENSEX,EDELAMC - ESENSEX,        78.16,        78.88,        78.88,        76.53,        77.00,                    23441.55,304,20,        88.05,        71.87,BSE SENSEX TRI
N,EQ,ESG,MIRAEAMC - MAESGETF,        41.03,        40.49,        41.31,        40.49,        40.87,                   779767.02,19078,67,        45.06,        37.52,NIFTY100 ESG SECTOR LEADERS
N,EQ,ESILVER,EDELAMC - ESILVER,       227.73,       226.78,       226.78,       224.29,       224.97,                 56516686.41,251202,1033,       375.00,       119.99,EDELWEISS SILVER ETF
N,EQ,EVIETF,ICICIPRAMC - EVIETF,        33.10,        33.92,        33.92,        32.36,        32.53,                 15987450.63,492139,1606,        36.00,        26.28,NIFTY EV & NEW AGE AUTOMOTIVE ETF
N,EQ,EVINDIA,MIRAEAMC - EVINDIA,        33.15,        33.15,        33.49,        32.40,        32.61,                 28240065.53,868296,3120,        35.04,        26.20,NIFTY EV AND NEW AGE AUTOMOTIVE TOTAL RETURN INDEX
N,EQ,FINIETF,ICICIPRAMC-ICICIFIN,        32.65,        32.66,        32.68,        32.14,        32.43,                 14694694.15,455095,1884,        34.56,        27.40,ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF
N,EQ,FLEXIADD,DSPAMC - FLEXIADD,        10.15,        10.20,        10.27,         9.98,        10.03,                   875012.64,87285,532,        11.90,         8.73,NIFTY500 FLEXICAP QUALITY 30 TRI
N,EQ,FMCGADD,DSPAMC - FMCGADD,        46.70,        46.50,        46.68,        46.18,        46.45,                   428478.78,9246,112,        51.09,        46.18,NIFTY FMCG INDEX (TRI)
N,EQ,FMCGIETF,ICICIPRAMC - ICICIFMCG,        49.78,        49.78,        50.49,        49.39,        49.74,                 79911230.28,1609017,5557,        62.30,        48.55,NIFTY FMCG INDEX
N,EQ,GILT10BETA,UTIAMC-GILT10BETA,        26.52,        26.65,        26.76,        26.65,        26.75,                      561.41,21,8,        27.14,        25.10,UTI NIFTY 10 YR BENCHMARK G-SEC ETF
N,EQ,GILT5BETA,UTIAMC-GILT5BETA,        65.68,        66.33,        66.89,        65.69,        65.69,                    30889.10,462,8,        67.62,        61.51,UTI NIFTY 5 YR BENCHMARK G-SEC ETF
N,EQ,GILT5YBEES,RELCAPAMC - NETFGILT5Y,        66.04,        66.10,        66.10,        65.78,        66.09,                 13075087.90,198008,402,        67.84,        61.45,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,GOLD1,KOTAK GOLD ETF,       126.58,       124.60,       125.45,       123.66,       124.77,                253804293.46,2034162,8911,       158.00,        86.90,GOLD
N,EQ,GOLD360,360ONEAMC - GOLD360,       147.90,       147.60,       147.60,       145.05,       145.60,                  3378043.20,23092,303,       178.00,        87.85,COMMODITY-GOLD
N,EQ,GOLDADD,DSPAMC - DSPGOLD,        14.73,        14.70,        14.70,        14.46,        14.51,                182602112.53,12536983,10226,       181.00,        14.46,DSP GOLD ETF
N,EQ,GOLDAXIS,AXISAMC-GOLDAXIS,       125.91,       125.50,       125.50,       123.20,       124.18,                105661644.28,850365,4015,       150.00,        83.85,GOLD
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,       125.34,       123.47,       124.29,       122.75,       123.52,               4473034664.99,36173459,132355,       148.14,        84.44,GOLD
N,EQ,GOLDBETA,UTIAMC-UTIGOLDBETA,       127.85,       124.65,       129.15,       124.65,       126.00,                117657544.45,933480,3822,       149.35,        85.70,GOLD
